"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
83638.35;72051;76075.6;35372.22;33187;69851.27;185.4661;-67.20282;1494.685;36.10477;2668.832;1353.167;1933.461;3763.284;5935.576;-39.5117;192.7204;52.65411;45.09558;64.9
72988.89;59277;80695.73;73923.72;68109;71131.05;2502.293;-20.27481;172.9509;51.52114;340.9348;1058.069;1853.071;86.74076;4693.853;107.1868;298.9581;387.8476;18.31836;66.5
122640.6;97574;82372.09;86840.52;76290;74599.29;2666.329;-8.569069;568.19;13.70961;181.2157;311.5598;2028.316;136.9101;3893.627;170.9568;113.9205;117.5084;16.73155;66.6
134540.3;113608;77611.05;43582.5;40536;70461.39;141.5957;-53.99574;1780.303;27.10965;3322.102;715.0693;1752.16;6398.366;9410.379;14.20754;254.3081;-104.6069;95.77135;67
129724.8;109267;77806.17;44272.8;41091;70610.65;346.7352;-32.57241;1194.432;4.40157;1177.725;1341.025;2172.966;214.1256;7661.371;25.80313;140.8363;-76.48148;43.22098;67.4
120625.8;104424;75704.18;74366.76;68044;71625.71;3950.24;-159.7983;417.4776;20.57798;1332.03;1159.324;2819.123;89.10243;12793.85;59.41187;246.1173;-103.6774;4.713287;68.6
147063.2;127978;75309.29;49697.7;46974;69335.98;347.6239;5866.904;49.25315;172.9182;-77.32111;-29.13572;159.0511;23.20164;3828.567;-86.06087;91.28403;1391.836;4920.669;68.8
154870.5;130465;77795.53;54451.02;49634;71896.32;5451.861;-154.064;498.8246;-71.56512;946.1439;498.3484;2311.416;200.5865;7797.465;184.68;219.6304;446.4698;-47.87749;70.1
164389;143739;74951.13;59283.9;54927;70734.42;1439.664;382.5358;257.2628;130.6358;39.83058;1240.376;79.24951;508.074;6292.831;-21.13306;100.3341;13526.37;-42.19696;70.8
122446.7;100183;80100.1;100810.3;91655;72082.32;3966.82;-6.419664;2061.192;92.77062;472.5848;2499.456;2824.982;89.23631;8358.945;16.84814;227.7672;-6.837138;55.30811;71.5
101784;80642;82717.63;115765.3;100166;75742.2;1965.652;13830.38;1056.349;165.5183;148.1818;2551.899;274.6071;4073.221;7811.387;33.09637;213.2875;604.1531;26.68604;72.5
109696.2;82454;87188.63;103796.9;87814;77464.15;607.2023;6811.678;837.5367;19.75766;-33.00933;2256.451;229.8165;4978.991;3945.802;644.0214;96.95583;67.5827;23.89905;72.9
117657.4;96062;80268.96;64644.84;57978;73071.93;1958.537;3492.234;913.3298;19.54788;44.00957;414.6136;74.54585;235.7379;3006.195;72.35078;100.5416;134.5223;-13.38068;72.9
121600.1;98920;80561.9;69636.84;55240;82616.22;39.05449;-65.66236;2401.447;27.60999;2882.198;245.3652;2088.489;8873.354;10402.13;694.0755;245.2666;285.4258;34.33005;73.9
119702.6;101418;77351.45;52501.8;48090;71548.3;224.9858;7.415594;2285.212;-9.637001;2167.376;249.2262;2502.058;3289.183;5771.122;45.58257;159.286;43.77541;78.7803;74.4
70533.18;59640;77506.08;96933.72;85960;73902.37;1619.417;1295.19;410.185;34.12663;118.5835;1028.687;-0.9714993;19797.2;2310.138;47.5545;305.7042;-75.27657;60.40817;74.6
105861.2;86229;80456.91;74514.18;67825;71999.43;5600.272;-66.04739;2489.434;-15.46947;208.3125;2494.092;2024.561;216.1516;5540.996;61.73127;174.0512;-157.0314;-9.161804;75.2
112385.1;93576;78708.99;36888.54;35084;68906.84;112.0296;-9.142268;1627.124;-27.52882;3252.144;1394.507;1781.185;378.1132;4952.082;-18.7688;182.0625;31.08025;23.67609;75.4
186634.7;162878;75094.79;54429.96;49322;72323.14;3301.023;-67.75541;3247.172;-45.90808;1686.955;594.3673;2831.123;181.864;5762.2;52.65392;454.321;-65.00355;42.47871;75.6
148873.7;124475;78381.91;55595.28;50331;72390.61;3511.537;1.458679;1030.135;25.7027;660.0643;866.5921;1993.044;-26.68753;3008.931;4.481114;240.3184;-115.0028;-0.2944489;75.6
134430.6;114491;76949.69;61108.32;56699;70632.55;4113.07;-122.7118;1388.819;-40.23709;1535.333;1097.054;4136.013;26.37028;6845.786;-19.08292;259.6527;10.08149;65.99252;76.3
146350.4;119314;80386.36;113968.1;102594;72801.68;1718.795;5505.645;1117.144;63.0083;1186.381;555.1125;719.5217;1138.39;5314.803;52.49162;100.3375;27.30439;44.65155;76.3
131276.6;107127;80309.79;65781.3;60723;70995.23;485.1753;-85.96078;2257.032;-100.208;3869.313;1881.736;3543.555;96.87233;9283.062;-49.66869;259.6711;32.9346;82.00523;77.4
119528.7;101919;76859.41;56163.9;53103;69313.55;1076.016;-71.89587;1197.819;30.35211;1090.903;267.9783;1559.114;153.8229;7704.938;32.61425;75.41166;-0.689347;34.37952;78.2
121473.1;107095;74334.59;45985.68;43927;68607.41;56.13453;-24.28664;998.4529;-74.58353;1740.195;588.9092;1848.999;6775.425;4020.159;79.89767;165.6015;133.9883;55.56752;78.4
